[2026-05-23 22:54:12] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-22
正在获取论文...
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[IEEE] 2026-5-22 | Accurate Prediction of Dynamic Line Rating for Overhead Transmission Lines Based on GWO-VMD-GRU
[IEEE] 2026-5-22 | Commercial Orbit Transfer Services to Facilitate Lunar and Martian Exploration
[IEEE] 2026-5-22 | High-Performance MNIST Digit Classification Using Multi-Layer Perceptron with Progressive CUDA Optimization
[IEEE] 2026-5-22 | Design and Application of an Automated Testing System for Line Protection Equipment
[IEEE] 2026-5-22 | Application, Development and Analysis of Low-Speed, High-Torque Axial Flux Permanent Magnet Generator for Fluid Machinery Renewable Energies
[IEEE] 2026-5-22 | Smart IoT Health Monitoring Using Spectral HRV Analysis for Early Stress and Autonomic Imbalance
[IEEE] 2026-5-22 | Analysis of the Impact of Energy Storage Operation Conditions for Wide-Band Oscillation in Photovoltaic-Storage-Charging Stations
[IEEE] 2026-5-22 | Mitigating Single-Event Functional Interrupts in the Peripheral Circuitry of Non-Volatile Memories in Radiation Environments
[IEEE] 2026-5-22 | Electrical Carbon Emission Prediction of Urban Areas with LSTM-Kalman Filter
[IEEE] 2026-5-22 | Electricity Spot Market Price Risk Evaluation Model Considering the Regulation Capacity of BS Transceivers and Backup Energy Storage
[IEEE] 2026-5-22 | Design and Development of BLDC Motor Controller for Low Power Consumer Applications
[IEEE] 2026-5-22 | An Intelligent Online Banking Framework with Real-Time Transaction Streaming and ML-Based Fraud Detection
[IEEE] 2026-5-22 | Asymmetrical Fault Control Strategy for Distributed Photovoltaics Considering Capacity Constraint
[IEEE] 2026-5-22 | Streaming Fixed-Point FPGA Preprocessing and Feature Preparation for QCM Sensor Signals on a SoC Platform
[IEEE] 2026-5-22 | A Cost-Efficient Fabric-Embedded Resistive Soft Sensor for Grid-Based Contact Localization
[IEEE] 2026-5-22 | Smart Fall Risk Detection using Machine Learning
[IEEE] 2026-5-22 | A Framework for Scenario Generation, Training, and Evaluation of Neuro-Symbolic AI for Autonomy
[IEEE] 2026-5-22 | Towards an AI-Powered Threat Modeling Framework for Securing Robotic Pharmaceutical Laboratories
[IEEE] 2026-5-22 | Inter-Satellite Link Configuration for Fast Delivery in Low-Earth-Orbit Constellations
[IEEE] 2026-5-22 | Is Simplicity Golden? a Survey of Post-Launch Adaptation in Planetary Missions
[IEEE] 2026-5-22 | AURA: An AI-Driven Autonomous Underground Risk Assistant for Smart Mining Environments
[IEEE] 2026-5-22 | Simulated Annealing-Based Route Optimization for Efficient Power Outage Recovery Measures
[IEEE] 2026-5-22 | Intelligent ERP AI Agent with RAG and LLM Integration: A Systematic Literature Review
[IEEE] 2026-5-22 | Diffusion Enhanced Deepfake Detection Using Local Global Feature Integration
[IEEE] 2026-5-22 | AcouBLE: Clock-Seeding BLE chips via Acoustic Signals for Extended Energy Efficiency
[IEEE] 2026-5-22 | Intrusion Detection System Using Deep Learning and Machine Learning
[IEEE] 2026-5-22 | CLAD: Contrastive Representation Learning for Unsupervised Botnet Detection in IoT Network
[IEEE] 2026-5-22 | Smart Car Parking Management System Using Internet-of-Things Approach
[IEEE] 2026-5-22 | Research on Electric Shock Diagnosis under Insulation Defects Based on Bi-GRU-ATT
[IEEE] 2026-5-22 | An Attention-Driven Bi-GRU Framework for Intelligent Judicial Case Management and Verdict Prediction
[ACM] 2026-5-23 | Mapping NVD Records to Their Vulnerability-fixing Commits: How Hard is It?
[IEEE] 2026-5-22 | RoboSoft 2026 Cover Page
[IEEE] 2026-5-22 | Cover Page
[IEEE] 2026-5-22 | 2026 International Conference on Current Trends in Advanced Computing (ICCTAC)
[ACM] 2026-5-22 | Proceedings of the 12th ACM Cyber-Physical System Security Workshop
[IEEE] 2026-5-22 | Introducing IEEE Collabratec
[IEEE] 2026-5-22 | Automated Repair of Alloy Specifications in the Era of Large Language Models_supp1-3682711.pdf
[IEEE] 2026-5-22 | NRRS: Neural Russian Roulette and Splitting_supp1-3691565.pdf
[IEEE] 2026-5-22 | Charting a New Course: An Inventory of Data Visualization Scholarship in TPC From 2013 to 2023
[IEEE] 2026-5-22 | Degradation Guided Robust Image Hiding
[IEEE] 2026-5-22 | Reliability-Constrained Behind-the-Meter BESS Dispatch for Data Centers: Co-Optimizing Utility Costs and Critical-Load Continuity Under Stochastic Outages
[IEEE] 2026-5-22 | IEEE Power &amp; Energy Society Information
[ACM] 2026-5-22 | On the Credibility of Deniable Communication in Court
[IEEE] 2026-5-22 | ISTASTrack: Bridging ANN and SNN via ISTA Adapter for RGB-Event Tracking
[IEEE] 2026-5-22 | Graph Isomorphism Network for Joint Pilot Assignment and Power Control in Cell-Free Massive MIMO
[IEEE] 2026-5-22 | IEEE Internet of Things Journal Information for Authors
[ACM] 2026-5-22 | Metrics for Privacy-Preserving Generative Models: A Comprehensive Survey
[ACM] 2026-5-22 | Managing Edge Resources at Scale: A Peer-to-Peer CDN for On-Demand Video Streaming
[ACM] 2026-5-22 | Open Agent Specification: Enabling Cross-Framework Comparison of AI Agents
[ACM] 2026-5-23 | A Mixed-Method Study of Hot Fixing in Industry: Practices, Bottlenecks, and Opportunities
[IEEE] 2026-5-22 | Multiplexed Quasi-Proportional Resonant Control of MMC for Mitigating Harmonic Voltage in Medium-Voltage Distribution Network
[IEEE] 2026-5-22 | AI-Enhanced Color Contrast Checker for WCAG Oriented Real-Time Accessibility Evaluation
[IEEE] 2026-5-22 | AI-Powered Smart Farming System
[IEEE] 2026-5-22 | A Python-Based Framework for Integrating Multi-Modal AI in Automated Video Production Workflows: A Strategic Business Perspective
[IEEE] 2026-5-22 | Design Methodology and Modeling of Matrix-Based Magnetically Integrated Resonant Inductors for Server Power Applications
[IEEE] 2026-5-22 | Enhanced Stability of DFIG-Based Wind Systems using a Hybrid Sliding-Backstepping Control
[IEEE] 2026-5-22 | Using Impact Flash to Initiate Nuclear Explosive Devices in Planetary Defense Missions
[IEEE] 2026-5-22 | PULSE-A: Polarization-Modulated Optical Communications at the CubeSat Form Factor
[IEEE] 2026-5-22 | V2G Operation Strategy for Electric Bus Stations in Multi-Stage Markets
[IEEE] 2026-5-22 | Physical Maxillofacial Simulator with Variable-Stiffness Sensorized Soft Tissues
[IEEE] 2026-5-22 | An Intra-Day Allocation Strategy Using PMP for Hybrid Energy Storage in Shanxi's Frequency Regulation
[IEEE] 2026-5-22 | Evaluating the Spatial and Technical Potential of Solar Energy Across Europe: A Critical Review
[IEEE] 2026-5-22 | SecuGRC: A Machine Learning Secure SDLC Code Compliance Auditor Based on Governance Framework Mapping
[IEEE] 2026-5-22 | Optimizing Project Management through Real-Time Collaboration System Development Using Visualization Dashboards
[IEEE] 2026-5-22 | The Power of AI Literacy in Developing Students' Innovative Behavior and Wellbeing in Tourism and Hospitality Education: The Roles of Creative Self-Efficacy and Learning Agility
[IEEE] 2026-5-22 | An Online Estimation Method for Wave Impedance of MMC-HVDC Grids Based on Least Squares
[IEEE] 2026-5-22 | Research and Application of Steam Path Efficiency Increase Retrofit for LP Modules of Nuclear Power Plant Steam Turbines
[IEEE] 2026-5-22 | SMARTFLOW: Intelligent Traffic Management with Real-Time Density and Emergency Response
[IEEE] 2026-5-22 | Classification Quality of Air with Real Time IoT Based Air Monitoring Device Analysis
[IEEE] 2026-5-22 | Research on Control Strategies for Renewable Energy and Electromagnetic Transient Modeling of New Power Systems
[IEEE] 2026-5-22 | Adaptive Speech Enhancement Using a Hybrid CUDA and Deep Learning Pipeline
[IEEE] 2026-5-22 | Causal Graph-Guided Multi-source Data Fusion for Power System State Estimation
[IEEE] 2026-5-22 | Low-Control Satellite Formations for Enhanced GNSS-R Resolution in Perturbed Orbits
[IEEE] 2026-5-22 | Inverse Model Predictive Control for Bidirectional Power Flow in Wireless EV Charging Systems
[IEEE] 2026-5-22 | Research on Adaptive Semantic Task Map Construction and Autonomous Inspection Strategy for Substation Robots
[IEEE] 2026-5-22 | Locational Marginal Pricing (LMP) Analysis in a Two-Settlement System Using PyPSA
[IEEE] 2026-5-22 | Contextual Models for Indonesian Abbreviation Disambiguation and Expansion
[IEEE] 2026-5-22 | The Design and Performance of the BAE Systems FASTER Hyperspectral Microwave Radiometer
[IEEE] 2026-5-22 | Automated Debris Localization in Water Bodies Using Feature Mapping
[IEEE] 2026-5-22 | Impedance Prediction of PMSG in Circuit Form Under Variable Operating Points
[IEEE] 2026-5-22 | A Fine-Tuned ResNet-50 Approach for Enhanced Pneumonia Classification
[IEEE] 2026-5-22 | A Hybrid Deep Learning Model Integrating AraBERT and Parallel Dual-CNN Branches for Arabic News Credibility Assessment
[IEEE] 2026-5-22 | Small-Signal Stability Analysis of Wind Farm Integration System via MMC-HVDC Based on LTP Theory
[IEEE] 2026-5-22 | Re-Evaluation of Solar PV-Battery Sizing Optimization for Cost-Effective Hybrid Microgrids
[IEEE] 2026-5-22 | Enhancing IoT Security with Optimized Machine Learning Models for Malicious Traffic Detection
[IEEE] 2026-5-22 | ConvGNNs-Based Fast Estimation Model for Photovoltaic Capacity of Distribution Grid
[IEEE] 2026-5-22 | HoloQRam: Efficient Real-Time Spatial Video Delivery via Animated QR Codes
[IEEE] 2026-5-22 | DPPO-Based Real-Time Dispatch for IEHS with Wind Power Uncertainty
[IEEE] 2026-5-22 | Detecting Craters in Images Using Machine Learning and Classical Techniques for Lunar Navigation
[IEEE] 2026-5-22 | Entity Resolution for Aircraft Type Matching on Heterogeneous Aviation Data Sources
[IEEE] 2026-5-22 | Improved Droop Control Based on Soft Actor-Critic Deep Reinforcement Learning in Islanded Microgrids
[IEEE] 2026-5-22 | Node-Embroidery Actuator Leveraging Localized Large Bulging Induced by Post-Bulging of a Rubber Tube*
[IEEE] 2026-5-22 | From Biometric Surfaces to Contextual Intelligence: A Comprehensive Survey of Multimodal Authentication and the Trimodal Fusion Paradigm
[IEEE] 2026-5-22 | Low-Voltage, Repairable EDS Coating for Lunar Dust Mitigation on EVA Spacesuit Textiles
[IEEE] 2026-5-22 | Development of an UAS with Geomatics and Bioinspired Features for ISR Missions
[IEEE] 2026-5-22 | A Bi-level Model for Wind and Photovoltaic Power Prediction under Extremely Cold Disasters with Uncertainty Scenarios
[IEEE] 2026-5-22 | A Novel Q-Learning Architecture for Non-Stationary Markov Decision Processes
[IEEE] 2026-5-22 | Physics-Informed Neural Networks for Nonlinear Model Predictive Control: A Comprehensive Framework with Evolutionary Optimization
[IEEE] 2026-5-22 | DIGSAFE: A 5G-Enabled Smart Helmet for Worker Safety in Hazardous Environments
[IEEE] 2026-5-22 | HoSig-Align I: Edge-Native Threat Attribution using Homology Blocks in IoT-Pervasive Networks
[IEEE] 2026-5-22 | IoT Based Integrated Design for Aeroponic Plant Cultivation Using LSTM Algorithm
[IEEE] 2026-5-22 | AI-Driven Consciousness Assessment, Recovery Forecasting &amp; Hydration Management for Coma Patients
[IEEE] 2026-5-22 | Research on Dry wet Transition Control of Supercritical Coal fired Power Generation Unit Based on Fuzzy Weighted Model Predictive Control
[IEEE] 2026-5-22 | Design for Recycling: Prototyping a Rib-less Interior Permanent Magnet Rotor with Enhanced Disassembly
[IEEE] 2026-5-22 | A Novel Fractional Order Slip Model for Dynamic Friction Estimation in Industrial Robot
[IEEE] 2026-5-22 | Reliability Analysis and Improvement of Hermetic LTCC-CBGA Board-Level Interconnects
[IEEE] 2026-5-22 | A Ground-based SAR Geocoding Method Based on Dimensional Decomposition Matching in Complex Monitoring Environments
[IEEE] 2026-5-22 | Modeling of Wide RF-Bandwidth PAs Based on Signal-Sequence Reconstruction
[ACM] 2026-5-22 | Task Aware Cross-Domain Opportunistic Routing for Underwater Networks
[ACM] 2026-5-22 | Harmonic Diversity: Exploiting Nonlinear-Generated Harmonics for Enhanced Reliability in UWACs
[ACM] 2026-5-22 | Adaptive OTFS Modulation for Underwater Acoustic Communications Based on Deep Reinforcement Learning
[ACM] 2026-5-22 | Modality-Aware Fusion Dueling DQN for Sparse Underwater Visual Tracking
[ACM] 2026-5-23 | Playing repeated games with sublinear randomness
[IEEE] 2026-5-22 | Augmenting Human Hazard Situational Awareness With Haptic Interface for Heterogeneous Autonomous Vehicles_supp1-3688755.pdf
[IEEE] 2026-5-22 | A Communication-Free Carrier Synchronization Strategy for Suppressing Circulating Current in Multi-Inverter Parallel Systems
[IEEE] 2026-5-22 | Minimizing the Communication Gap between Citizens and Municipal Authorities: An AI-Based Case Study in Canaã dos Carajás, Brazil
[IEEE] 2026-5-22 | Incorporating Transition Matrix with Prior Knowledge and Dynamic Graph Attention within Graph CRF for Joint Slot Filling and Intent Detection
[IEEE] 2026-5-22 | Prescribed-Time Cooperative Output Regulation of Nonlinear Multiagent Systems under DoS Attacks
[IEEE] 2026-5-22 | Machine Learning–Assisted Power Optimization of PMOS-Biased Sense Amplifiers at 180 nm
[IEEE] 2026-5-22 | Grasp Optimization for Space Manipulation Using Multiple Underactuated Spacecraft
[IEEE] 2026-5-22 | A Cultural Prompt Alignment Framework for Mitigating Cross-Lingual Bias in Healthcare and Education with Multilingual LLMs
[IEEE] 2026-5-22 | A Closed-Form CLF-CBF Controller for Whole-Body Continuum Soft Robot Collision Avoidance
[IEEE] 2026-5-22 | Multi-Objective Optimization Model for Energy Stations Based on the Energy-Exergy-Anergy Multi-Flow Mechanism in Integrated Energy Systems
[IEEE] 2026-5-22 | Soft Surfaced Vision-Based Tactile Sensing for Bipedal Robot Applications
[IEEE] 2026-5-22 | Robust Pre-allocation Strategy of Electric Buses for Enhancing Distribution Network Resilience
[IEEE] 2026-5-22 | A Hierarchical Clustering Method for Flexible Loads Based on t-SNE Dimensionality Reduction and CFSFDP Algorithm
[IEEE] 2026-5-22 | Structural and Thermal Analysis of a Lithium Battery for Interceptor Missile AFTS Application
[IEEE] 2026-5-22 | How Trust and Technology Acceptance Shape Luxury Purchase Intention in Recommender System Contexts
[IEEE] 2026-5-22 | A Hierarchical Screening Method for High-Risk Scenarios in Power Systems Based on Multi-Dimensional Risk Indicators
[IEEE] 2026-5-22 | DrowsyGuard: A Low Cost Personalized IoT Wearable for Real-Time Driver Drowsiness Detection
[IEEE] 2026-5-22 | Portable Spectrophotometer in Diabetes Analysis
[IEEE] 2026-5-22 | A Short-Term Load Forecasting Method Based on Adaptive Data Cleaning and CNN-BiLSTM-Attention
[IEEE] 2026-5-22 | SPECTRA: An Efficient Spectral-Informed Neural Network for Sensor-Based Activity Recognition
[IEEE] 2026-5-22 | Analysis of 64-Bit Booth-MAC Based Processing Element for NTT Acceleration
[IEEE] 2026-5-22 | Optimal Energy Management of Hydrogen-Blended Integrated Power-Gas Systems via Sequential Convex Programming
[IEEE] 2026-5-22 | Elevation-Aware BLER-Centric Link Adaptation for Dynamic LEO 5G NTN Systems
[IEEE] 2026-5-22 | Cross-Region Mineral Mapping with Hyperspectral Data-Trained Multispectral Data Features
[IEEE] 2026-5-22 | Geometric Interpretation of Quantum-Optimum Detection for Weak Optical Signals
[IEEE] 2026-5-22 | A Lyapunov-Based Magnetorquer-Only Sun-Pointing Controller
[IEEE] 2026-5-22 | A Systematic Review of Deep Learning Approaches to Drowning Detection
[IEEE] 2026-5-22 | Learning Safety-Guaranteed, Non-Greedy Control Barrier Functions Using Reinforcement Learning
[IEEE] 2026-5-22 | Stability Without Control: A Passive Approach for Robust and Agile Domestic Mobile Robots
[IEEE] 2026-5-22 | An Intelligent IoT-Enabled Fire Fighting Robot with Real Time Environmental Monitoring
[IEEE] 2026-5-22 | AI-Augmented Climate Intelligence for Planetary Regeneration and Resilience
[IEEE] 2026-5-22 | Neuro-Symbolic Foundation Agent for Hyperparameter Tuning in Multi-UAS Positioning
[IEEE] 2026-5-22 | Uncertainty-Aware Deep Learning Model for Knee MRI Analysis in Ligament Injury Detection
[IEEE] 2026-5-22 | An Intelligent Fuel Theft Detection and Call Alert System Using ESP8266 Microcontroller
[IEEE] 2026-5-22 | Deep Learning Leveraged Synergistic Agriculture Ecosystem for Indian Farming
[IEEE] 2026-5-22 | Physics-Aware Graph Reinforcement Learning for Millisecond-Level Dispatch of High Proportion Renewable Energy Power Grids
[IEEE] 2026-5-22 | Structured Visual Summarization of Biomedical Articles with BiomindBERT: A SciBERT-Based and Hierarchical Clustering Approach
